Catalyst key,Catalyst,Formula,Morphology
paper_1000|output_1000|chem_H_WO3,H-WO3,H-WO3,Hierarchical
paper_1317|output_1317|chem_ru_co_ni_oh_2,Ru@Co-Ni(OH)₂,Ru@Co-Ni(OH)₂,Porous Network
paper_1317|output_1317|chem_ru_fe_ni_oh_2,Ru@Fe-Ni(OH)₂,Ru@Fe-Ni(OH)₂,Porous Network
paper_1317|output_1317|chem_ru_feco_ni_oh_2,Ru@FeCo-Ni(OH)₂,Ru@FeCo-Ni(OH)₂,Crystalline; Hierarchical; Particle/Cluster; Porous Network
paper_1317|output_1317|chem_ru_ni_oh_2,Ru@Ni(OH)₂,Ru@Ni(OH)₂,2D Sheet; Particle/Cluster; Porous Network
paper_1318|output_1318|chem_RuFe_FeNC,RuFe/FeNC,,Particle/Cluster
paper_1319|output_1319|chem_Li_IrOx,Li-IrOx,Li-IrO_x,Amorphous; Particle/Cluster
paper_1320|output_1320|chem_ni_dendrite,Ni dendrite,Ni,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Film/Coating; Flower/Urchin/Dendrite; Particle/Cluster; Porous Network
paper_1320|output_1320|chem_ni_film,Ni film,Ni,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Film/Coating; Flower/Urchin/Dendrite; Particle/Cluster; Porous Network
paper_1320|output_1320|chem_ni_foil,commercial Ni foil,Ni,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Film/Coating; Flower/Urchin/Dendrite; Particle/Cluster; Porous Network
paper_1320|output_1320|chem_ni_particle,Ni particle,Ni,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Film/Coating; Flower/Urchin/Dendrite; Particle/Cluster; Porous Network
paper_1320|output_1320|chem_nife_ldh_nf,NiFe LDH/Ni foam,NiFe LDH,Porous Network
paper_1320|output_1320|chem_nio_ni_cnt,NiO/Ni-CNT,NiO/Ni,Particle/Cluster
paper_1321|output_1321|chem_CoP_HNC,CoP@HNC,CoP@HNC,Particle/Cluster; Porous Network
paper_1321|output_1321|chem_Co_HNC,Co@HNC,Co@HNC,Particle/Cluster; Porous Network
paper_1323|output_1323|chem_Ni_NPGC,Ni-NPGC,,Porous Network
paper_1323|output_1323|chem_Ni_NiO_PGC_10_1_400,Ni/NiO-PGC_{10-1-400},,2D Sheet; Crystalline; Particle/Cluster
paper_1324|output_1324|chem_NiOH2_NF,Ni(OH)₂/NF,Ni(OH)₂,Porous Network
paper_1324|output_1324|chem_a-WO3_NF,a-WO₃/NF,a-WO₃,Amorphous
paper_1324|output_1324|chem_a-WO3_NiOH2_0.2H2O_NF,a-[WO₃/Ni(OH)₂]·0.2H₂O/NF,a-[WO₃/Ni(OH)₂]·0.2H₂O,1D Wire/Rod/Tube; Amorphous; Porous Network
paper_1325|output_1325|chem_CC_CoNi_LDH,CC@CoNi-LDH,,2D Sheet; Film/Coating; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1325|output_1325|chem_CC_CoNi_NC,CC@CoNi-NC,,1D Wire/Rod/Tube; 2D Sheet; Film/Coating; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1326|output_1326|chem_Ni4W_WO3_NF,Ni₄W/WO₃/NF,Ni₄W/WO₃/NF,1D Wire/Rod/Tube; Particle/Cluster; Porous Network
paper_1326|output_1326|chem_NiWO4_NF,NiWO₄/NF,NiWO₄/NF,Particle/Cluster; Porous Network
paper_1326|output_1326|chem_WO3_NF,WO₃/NF,WO₃/NF,1D Wire/Rod/Tube
paper_1328|output_1328|chem_NixSy_MnOxHy_NF,Ni_x S_y @ MnO_x H_y / NF,Ni_x S_y @ MnO_x H_y / NF,1D Wire/Rod/Tube
paper_1328|output_1328|chem_NixSy_NF,Ni_x S_y / NF,Ni_x S_y / NF,1D Wire/Rod/Tube
paper_1329|output_1329|chem_ht_nimon,HT-NiMoN,Ni0.2Mo0.8N,1D Wire/Rod/Tube; Array/Aligned; Faceted Polyhedron; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1329|output_1329|chem_hw_nimon_2h,HW-NiMoN-2h,Ni0.2Mo0.8N,1D Wire/Rod/Tube; Array/Aligned; Faceted Polyhedron; Generic Nanostructure; Particle/Cluster
paper_1329|output_1329|chem_wb_nimon,WB-NiMoN,Ni0.2Mo0.8N,1D Wire/Rod/Tube; Array/Aligned; Faceted Polyhedron; Generic Nanostructure; Particle/Cluster
paper_132|output_132|chem_Fe3O4,Fe3O4,Fe3O4,1D Wire/Rod/Tube; Amorphous; Crystalline; Particle/Cluster
paper_132|output_132|chem_NiFe,NiFe,NiFe,Amorphous; Crystalline; Particle/Cluster
paper_1330|output_1330|chem_Os_P_WC,Os/P-WC,Os/P-WC,Faceted Polyhedron; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1331|output_1331|chem_cs_nifecu,core-shell nickel-iron-copper electrode,,1D Wire/Rod/Tube; Flower/Urchin/Dendrite; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_1331|output_1331|chem_nife_ldh,NiFe LDH,,2D Sheet
paper_1332|output_1332|chem_FeP_Ni2P,FeP/Ni₂P hybrid,FeP/Ni₂P,Particle/Cluster; Porous Network
paper_1333|output_1333|chem_CeO2,CeO2,CeO2,Particle/Cluster
paper_1333|output_1333|chem_NiCeOxHy,NiCeOxHy,NiCeOxHy,Particle/Cluster
paper_1333|output_1333|chem_Ni_OH_2,Ni(OH)2,Ni(OH)2,Particle/Cluster; Porous Network
paper_1334|output_1334|chem_FeCoNi-HNTAs,FeCoNi-HNTAs,"1T' MoS2 + (Co,Fe,Ni)9S8",1D Wire/Rod/Tube
paper_1335|output_1335|chem_Sr2RuO4,Sr2RuO4,Sr2RuO4,2D Sheet
paper_1335|output_1335|chem_SrRuO3,SrRuO3,SrRuO3,2D Sheet
paper_1336|output_1336|chem_nickel_oxide,NiO,NiO,Film/Coating
paper_1336|output_1336|chem_tungsten_oxide,tungsten oxide,WO3,Film/Coating
paper_1337|output_1337|chem_A-CFC,A-CFC,,Amorphous; Film/Coating
paper_1337|output_1337|chem_c-CFC,c-CFC,,Crystalline; Film/Coating
paper_1338|output_1338|chem_PtCo_C,PtCo/C,PtCo/C,Particle/Cluster
paper_1338|output_1338|chem_PtCo_Pt_C,PtCo@Pt/C,PtCo@Pt/C,Particle/Cluster
paper_1338|output_1338|chem_PtFe_C,PtFe/C,PtFe/C,Particle/Cluster
paper_1338|output_1338|chem_PtFe_Pt_C,PtFe@Pt/C,PtFe@Pt/C,Particle/Cluster
paper_1338|output_1338|chem_PtNi_C,PtNi/C,PtNi/C,Particle/Cluster
paper_1338|output_1338|chem_PtNi_Pt_C,PtNi@Pt/C,PtNi@Pt/C,Particle/Cluster
paper_1338|output_1338|chem_dealloyed_PtCo_C,dealloyed PtCo/C,dealloyed PtCo/C,Particle/Cluster
paper_1338|output_1338|chem_dealloyed_PtNi_C,dealloyed PtNi/C,dealloyed PtNi/C,Particle/Cluster
paper_1339|output_1339|chem_PBSCF_100,PBSCF (100),PrBa0.5Sr0.5Co1.5Fe0.5O5+δ,Crystalline; Film/Coating; Rough/Wrinkled
paper_1339|output_1339|chem_PBSCF_110,PBSCF (110),PrBa0.5Sr0.5Co1.5Fe0.5O5+δ,Crystalline; Film/Coating; Rough/Wrinkled
paper_1339|output_1339|chem_PBSCF_111,PBSCF (111),PrBa0.5Sr0.5Co1.5Fe0.5O5+δ,Crystalline; Film/Coating; Rough/Wrinkled
paper_133|output_133|chem_FeNi4Ox,FeNi4Ox,FeNi4Ox,Particle/Cluster
paper_133|output_133|chem_Ni2Cr2FeOx,Ni2Cr2FeOx,Ni2Cr2FeOx,Particle/Cluster
paper_133|output_133|chem_NiFe2Ox,NiFe2Ox,NiFe2Ox,Particle/Cluster
paper_133|output_133|chem_NiO,NiO,NiO,Particle/Cluster
paper_133|output_133|chem_NiZnFe4Ox,NiZnFe4Ox,NiZnFe4Ox,Particle/Cluster
paper_133|output_133|chem_NiZnFeOx,NiZnFeOx,NiZnFeOx,Particle/Cluster
paper_133|output_133|chem_Raney_Ni,Raney Ni,Ni,Porous Network
paper_133|output_133|chem_ZnFe2Ox,ZnFe2Ox,ZnFe2Ox,Particle/Cluster
paper_1340|output_1340|chem_CF_VGSs_MoS2_FeCoNi_OHx,CF/VGSs/MoS2/FeCoNi(OH)x,CF/VGSs/MoS2/FeCoNi(OH)x,1D Wire/Rod/Tube; 2D Sheet; Film/Coating; Flower/Urchin/Dendrite; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1340|output_1340|chem_CF_VGSs_MoS2_FeCoNi_Px,CF/VGSs/MoS2/FeCoNiPx,CF/VGSs/MoS2/FeCoNiPx,2D Sheet
paper_1342|output_1342|chem_Co3O4,Co3O4,Co3O4,Crystalline; Particle/Cluster
paper_1342|output_1342|chem_Co3O4_CeO2,Co3O4/CeO2,Co3O4/CeO2,Crystalline
paper_1343|output_1343|chem_Au,Au,Au,Particle/Cluster; Porous Network
paper_1343|output_1343|chem_Au_CoOOH,Au/CoOOH,Au/CoOOH,2D Sheet; Particle/Cluster; Porous Network
paper_1344|output_1344|chem_cf_feso,CF-FeSO,Fe-CoOOH,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1344|output_1344|chem_cf_o,CF-O,CoO,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1344|output_1344|chem_cp_feso,CP-FeSO,Fe-CoOOH,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1344|output_1344|chem_cp_o,CP-O,CoO,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1345|output_1345|chem_mgo,MgO,MgO,2D Sheet
paper_1345|output_1345|chem_pt_mgo,Pt/MgO,Pt/MgO,2D Sheet; Particle/Cluster
paper_1346|output_1346|chem_ru_wo3_x_cp,Ru-WO3-x/CP,Ru-WO3-x,1D Wire/Rod/Tube; Particle/Cluster
paper_1347|output_1347|chem_CeO2-xNx,nanoporous CeO2−xNx,CeO2-xNx,Particle/Cluster; Porous Network
paper_1347|output_1347|chem_FeCo,nanoporous FeCo,FeCo,Porous Network
paper_1347|output_1347|chem_FeCo_CeO,nanoporous FeCo/Ce-O,FeCo/Ce-O,Particle/Cluster; Porous Network
paper_1347|output_1347|chem_FeCo_CeO2-xNx,nanoporous FeCo/CeO2−xNx,FeCo/CeO2-xNx,Generic Nanostructure; Particle/Cluster; Porous Network
paper_1347|output_1347|chem_RuO2_GC,RuO2/GC,RuO2/GC,1D Wire/Rod/Tube; Particle/Cluster; Porous Network
paper_1347|output_1347|chem_RuO2_NF,RuO2/NF,RuO2/NF,1D Wire/Rod/Tube; Particle/Cluster; Porous Network
paper_1349|output_1349|chem_Ir-HxWO3,Ir–HxWO3,Ir-HxWO3,1D Wire/Rod/Tube; Particle/Cluster
paper_134|output_134|chem_Ni_Cu_catalyst,Ni–Cu catalyst,Ni-Cu,Particle/Cluster
paper_1350|output_1350|chem_Au_55nm,55 nm Au NPs,Au,Hollow/Core-Shell; Particle/Cluster
paper_1350|output_1350|chem_Au_Ru_55_2.5nm,55 nm Au@2.5 nm Ru NPs,,Hollow/Core-Shell; Particle/Cluster
paper_1351|output_1351|chem_W,W,W,Generic Nanostructure; Particle/Cluster
paper_1351|output_1351|chem_WO2,WO2,WO2,1D Wire/Rod/Tube; Crystalline; Particle/Cluster
paper_1351|output_1351|chem_W_WO2,W/WO2,W/WO2,1D Wire/Rod/Tube; Particle/Cluster
paper_1351|output_1351|chem_W_plus_WO2,W + WO2,W + WO2,1D Wire/Rod/Tube; Particle/Cluster
paper_1352|output_1352|chem_Ir_D-ATO,Ir/D-ATO,Ir/ATO,1D Wire/Rod/Tube; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1352|output_1352|chem_Ir_M-ATO,Ir/M-ATO,Ir/ATO,1D Wire/Rod/Tube; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1352|output_1352|chem_Ir_S-ATO,Ir/S-ATO,Ir/ATO,1D Wire/Rod/Tube; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1353|output_1353|chem_pdptnicuzn_hea_nps,PdPtNiCuZn HEA NPs,,Particle/Cluster
paper_1354|output_1354|chem_CS-Ru-40,CS-Ru-40,,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster
paper_1357|output_1357|chem_Co(OH)2_TF,Co(OH)₂ film,Co(OH)₂,Film/Coating
paper_1357|output_1357|chem_Ni(OH)2_TF,Ni(OH)₂ film,Ni(OH)₂,Film/Coating
paper_1357|output_1357|chem_NiCo(OH)2_TF,NiCo(OH)₂ film,NiCo(OH)₂,Array/Aligned; Film/Coating
paper_1357|output_1357|chem_NiFe(OH)2_TF,NiFe(OH)₂ film,NiFe(OH)₂,Film/Coating
paper_1358|output_1358|chem_Ni0.2Mo0.8N,Ni0.2Mo0.8N,Ni_{0.2}Mo_{0.8}N,2D Sheet; Array/Aligned; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_1358|output_1358|chem_Ni0.2Mo0.8N_Ni,Ni0.2Mo0.8N/Ni,Ni_{0.2}Mo_{0.8}N/Ni,2D Sheet; Array/Aligned; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_1358|output_1358|chem_porous_Ni,porous Ni,Ni,Particle/Cluster; Porous Network
paper_1359|output_1359|chem_FeMoOOH_NF,FeMoOOH/NF,FeMoOOH,1D Wire/Rod/Tube; 2D Sheet; Flower/Urchin/Dendrite; Generic Nanostructure; Porous Network; Rough/Wrinkled
paper_1359|output_1359|chem_MoO2_NF,MoO2/NF,MoO2,Porous Network
paper_135|output_135|chem_NiCoP,NiCoP,NiCoP,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Faceted Polyhedron; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_135|output_135|chem_NiCoP_300,NiCoP-300,NiCoP,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Faceted Polyhedron; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_135|output_135|chem_NiCoP_600,NiCoP-600,NiCoP,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Faceted Polyhedron; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1360|output_1360|chem_fcc0_25_Ru_Sn_C,fcc0.25 Ru–Sn/C,Ru–Sn/C (fcc0.25),Faceted Polyhedron; Particle/Cluster; Porous Network
paper_1360|output_1360|chem_fcc0_42_Ru_Sn_C,fcc0.42 Ru–Sn/C,Ru–Sn/C (fcc0.42),Faceted Polyhedron; Generic Nanostructure; Particle/Cluster
paper_1360|output_1360|chem_fcc0_63_Ru_Sn_C,fcc0.63 Ru–Sn/C,Ru–Sn/C (fcc0.63),1D Wire/Rod/Tube; Faceted Polyhedron; Particle/Cluster; Porous Network
paper_1360|output_1360|chem_fcc_Ru_Sn_C,fcc Ru–Sn/C,Ru–Sn/C (fcc),Particle/Cluster
paper_1360|output_1360|chem_hcp_Ru_C,hcp Ru/C,Ru/C (hcp),Particle/Cluster
paper_1361|output_1361|chem_NCMP,Ni–Co–Mn phosphide (NCMP),Ni1.1Co1.4MnP1.8,Particle/Cluster
paper_1361|output_1361|chem_NCP,Ni–Co phosphide (NCP),Ni-Co-P,Porous Network
paper_1364|output_1364|chem_klto,KLTO,K0.469La0.531TiO3,2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1364|output_1364|chem_tro_rklto,TRO/RKLTO,(K0.469La0.531)TiO3 with surface Ru-doping and Ti-doped RuO2 nanoparticles,Particle/Cluster
paper_1365|output_1365|chem_Co_n_Pt1_N5_6C,Co_n–Pt_1@N_[5]/[6]C,,2D Sheet; Crystalline; Film/Coating; Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster
paper_1365|output_1365|chem_Co_n_Pt1_N6C,Co_n–Pt_1@N_[6]C,,Film/Coating; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_1366|output_1366|chem_Ru_C_com,Ru/C_com,,Faceted Polyhedron; Film/Coating; Particle/Cluster; Porous Network
paper_1366|output_1366|chem_Ru_NC,Ru–NC,,Particle/Cluster
paper_1366|output_1366|chem_Ru_YNC,Ru–YNC,,1D Wire/Rod/Tube; 2D Sheet; Particle/Cluster
paper_1367|output_1367|chem_Ni3S4_IF,Ni₃S₄/IF,Ni₃S₄,2D Sheet; Porous Network
paper_1367|output_1367|chem_Ni3S4_NiFe_LDH_IF,Ni₃S₄/NiFe-LDH/IF,Ni₃S₄/NiFe-LDH,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1367|output_1367|chem_NiFe_LDH_IF,NiFe-LDH/IF,NiFe-LDH,2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1367|output_1367|chem_Ru_NiFe_LDH_IF,Ru-NiFe-LDH/IF,Ru-NiFe-LDH,Porous Network
paper_1367|output_1367|chem_S_FeOOH_IF,S-FeOOH/IF,FeOOH,Porous Network
paper_1368|output_1368|chem_ni_oh_2_nf,Ni(OH)₂/NF,Ni(OH)₂,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1368|output_1368|chem_s_ni_oh_2_ceo2_nf,S-Ni(OH)₂/CeO₂/NF,S-Ni(OH)₂/CeO₂,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1368|output_1368|chem_s_ni_oh_2_nf,S-Ni(OH)₂/NF,S-Ni(OH)₂,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Flower/Urchin/Dendrite; Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1369|output_1369|chem_cp_runii_c,CP-RuNi/C,,Particle/Cluster; Porous Network
paper_1369|output_1369|chem_up_ni_c,UP-Ni/C,,Particle/Cluster; Porous Network
paper_1369|output_1369|chem_up_ru_c,UP-Ru/C,,Particle/Cluster; Porous Network
paper_1369|output_1369|chem_up_runisas_c,UP-RuNi_SAs/C,,Particle/Cluster; Porous Network
paper_136|output_136|chem_CoS2_microwires,CoS2 microwires,CoS₂,1D Wire/Rod/Tube
paper_136|output_136|chem_CoS2_nanowires,CoS2 nanowires,CoS₂,1D Wire/Rod/Tube
paper_136|output_136|chem_Cu_doped_RuO2,Cu-doped RuO2,Cu-RuO₂,Generic Nanostructure
paper_136|output_136|chem_IrCo,IrCo,IrCo,2D Sheet
paper_136|output_136|chem_IrNi,IrNi,IrNi,1D Wire/Rod/Tube
paper_136|output_136|chem_Mo2C_graphene_nanoribbons,Mo2C graphene nanoribbons,Mo₂C,1D Wire/Rod/Tube
paper_136|output_136|chem_Mo2C_ribbons,Mo2C ribbons,Mo₂C,1D Wire/Rod/Tube
paper_1371|output_1371|chem_CoP_PC,CoP/PC,CoP,Porous Network
paper_1371|output_1371|chem_NCP_CC,NCP/CC,NiCoP,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1371|output_1371|chem_NCP_CP,NCP/CP,NiCoP,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Crystalline; Faceted Polyhedron; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1371|output_1371|chem_NCP_GF,NCP/GF,NiCoP,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1371|output_1371|chem_NCP_NF,NCP/NF,NiCoP,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1371|output_1371|chem_NCP_PC,NCP/PC,NiCoP,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1371|output_1371|chem_NCP_TM,NCP/TM,NiCoP,1D Wire/Rod/Tube; 2D Sheet; Array/Aligned; Crystalline; Faceted Polyhedron; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1371|output_1371|chem_Ni2P_PC,Ni₂P/PC,Ni₂P,Porous Network
paper_1372|output_1372|chem_CoCrOx,CoCrOx,CoCrO_x,Particle/Cluster
paper_1372|output_1372|chem_FeCrOx,FeCrOx,FeCrO_x,Particle/Cluster
paper_1372|output_1372|chem_NiCrOx,NiCrOx,NiCrO_x,Particle/Cluster
paper_1373|output_1373|chem_Ir_SA_Mo2C_C,Ir_SA–Mo₂C/C,Ir-SA/Mo₂C/C,Particle/Cluster
paper_1374|output_1374|chem_COF_205_Ru,COF-205-Ru,,Porous Network
paper_1375|output_1375|chem_n_Co3S4_NF,n·Co₃S₄@NF,Co₃S₄,1D Wire/Rod/Tube; 2D Sheet; Film/Coating; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network
paper_1375|output_1375|chem_r_Co3S4_NF,r·Co₃S₄@NF,Co₃S₄,1D Wire/Rod/Tube; 2D Sheet; Film/Coating; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network
paper_1376|output_1376|chem_Fe-Co_NCs,Fe-Co NCs,,Generic Nanostructure; Particle/Cluster; Porous Network
paper_1376|output_1376|chem_Fe-HESA_NCs,Fe-HESA NCs,,Generic Nanostructure; Hollow/Core-Shell; Particle/Cluster
paper_1377|output_1377|chem_Cr0.2Ru0.8O2_x,Cr_{0.2}Ru_{0.8}O_{2·x},Cr_{0.2}Ru_{0.8}O_{2·x},Particle/Cluster
paper_1379|output_1379|chem_titanium_hydride,titanium hydride,TiH_{1.97},2D Sheet
paper_137|output_137|chem_MoNi4,MoNi4,MoNi4,Porous Network
paper_137|output_137|chem_NiFeN,NiFeN,NiFeN,Porous Network
paper_137|output_137|chem_NiFe_LDH,NiFe LDH,NiFe LDH,2D Sheet; Porous Network
paper_137|output_137|chem_NiMoN,NiMoN,NiMoN,Porous Network
paper_1380|output_1380|chem_Pdene_aerogels,Pdene aerogels,Pd,Porous Network
paper_1380|output_1380|chem_alpha_PdHene_aerogels,α-PdHene aerogels,,1D Wire/Rod/Tube; Porous Network
paper_1380|output_1380|chem_beta_PdHene_aerogels,β-PdHene aerogels,PdHx,1D Wire/Rod/Tube; Porous Network
paper_1380|output_1380|chem_mixed_PdHene_aerogels,mixed-phase PdHene aerogels,,Generic Nanostructure; Particle/Cluster; Porous Network; Rough/Wrinkled
paper_1381|output_1381|chem_ni_ir_ox,NiIrO_x,NiIrO_x,Rough/Wrinkled
paper_1381|output_1381|chem_ni_w_ir_ox,NiWIrOx,NiWIrO_x,Particle/Cluster; Rough/Wrinkled
paper_1382|output_1382|chem_Y_NiMo_MoO2_x,Y-NiMo/MoO2−x,Y-NiMo/MoO2−x,2D Sheet; Generic Nanostructure; Particle/Cluster; Rough/Wrinkled
paper_1384|output_1384|chem_rutirv_coooh,RuTIrV/CoOOH,RuTIrV/CoOOH,1D Wire/Rod/Tube; Faceted Polyhedron; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_1385|output_1385|chem_NiMo_H2,NiMo-H2,Ni0.91Mo0.09/MoO2,1D Wire/Rod/Tube; 2D Sheet; Crystalline; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1386|output_1386|chem_Se_RuOx,Se·RuOx,Se·RuOx,2D Sheet; Crystalline; Faceted Polyhedron; Particle/Cluster
paper_1387|output_1387|chem_cofe_ldh_nf,CoFe LDH/NF,CoFe LDH/NF,2D Sheet; Porous Network
paper_1387|output_1387|chem_pw12_cofe_ldh_nf,PW₁₂-CoFe LDH/NF,PW₁₂-CoFe LDH/NF,2D Sheet
paper_1388|output_1388|chem_fcc_Ru1Co,fcc-Ru1Co,Ru1Co,Faceted Polyhedron; Generic Nanostructure; Porous Network
paper_1388|output_1388|chem_hcp_Ru1Co,hcp-Ru1Co,Ru1Co,Faceted Polyhedron; Generic Nanostructure; Porous Network
paper_1388|output_1388|chem_hcp_fcc_Ru1Co,hcp/fcc-Ru1Co,Ru1Co,Faceted Polyhedron; Generic Nanostructure; Porous Network
paper_138|output_138|chem_NiCo2O4_NF,Nickel Cobalt Oxide on Nickel Foam,NiCo2O4/NF,Porous Network
paper_138|output_138|chem_NiFe2O4_NF,Nickel Iron Oxide on Nickel Foam,NiFe2O4/NF,Porous Network
paper_138|output_138|chem_Ni_CoFe2O4_NF,Nickel Cobalt Iron Oxide on Nickel Foam,Ni-CoFe2O4/NF,1D Wire/Rod/Tube; Porous Network
paper_138|output_138|chem_Ni_CoFe2O4_NF_800,Annealed Nickel Cobalt Iron Oxide on Nickel Foam,Ni-CoFe2O4/NF,1D Wire/Rod/Tube; Porous Network
paper_138|output_138|chem_Ni_NF,Nickel Nanocones on Nickel Foam,Ni/NF,Generic Nanostructure; Porous Network
paper_138|output_138|chem_RuO2_NF,Ruthenium Dioxide on Nickel Foam,RuO2/NF,Porous Network
paper_1390|output_1390|chem_Ir_Co3O4,Ir-Co3O4,Ir-Co3O4,Crystalline; Faceted Polyhedron; Film/Coating; Particle/Cluster
paper_1390|output_1390|chem_LaIr_Co3O4,LaIr-Co3O4,LaIr-Co3O4,Particle/Cluster
paper_1391|output_1391|chem_a_NMO,a-NMO,NiMoOx,Amorphous
paper_1391|output_1391|chem_a_RNMO,a-RNMO,RuNiMoOx,2D Sheet; Amorphous; Generic Nanostructure; Particle/Cluster; Rough/Wrinkled
paper_1391|output_1391|chem_c_NMO,c-NMO,NiMoO4,Crystalline
paper_1392|output_1392|chem_CoP_NF,CoP/NF,CoP,1D Wire/Rod/Tube; 2D Sheet; Generic Nanostructure; Hierarchical; Particle/Cluster; Porous Network
paper_1392|output_1392|chem_MnO2_Co_Pi_CoP_NF,MnO2@Co-Pi@CoP/NF,,1D Wire/Rod/Tube; 2D Sheet; Amorphous; Array/Aligned; Film/Coating; Generic Nanostructure; Hierarchical; Hollow/Core-Shell; Particle/Cluster; Porous Network
paper_1393|output_1393|chem_HxWO3_NN,HxWO3 NN,H_xWO_3,Generic Nanostructure
paper_1394|output_1394|chem_3D_ACCE,3D-ACCE,NiFe-LDH,1D Wire/Rod/Tube; 2D Sheet; Amorphous; Film/Coating; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1394|output_1394|chem_ACCE,ACCE,NiFe-LDH,1D Wire/Rod/Tube; 2D Sheet; Amorphous; Film/Coating; Generic Nanostructure; Particle/Cluster; Porous Network
paper_1394|output_1394|chem_NiFe_LDH_H,NiFe-LDH-H,,2D Sheet
paper_1395|output_1395|chem_NiIr0.5_TiO2,NiIr_{0.5}/TiO_2,NiIr_{0.5}/TiO_2,2D Sheet
paper_1395|output_1395|chem_TiO2,TiO₂,TiO₂,2D Sheet
paper_1396|output_1396|chem_aza_cmp_ni,Aza-CMP–Ni,,Porous Network
paper_1396|output_1396|chem_aza_cmp_nife,Aza-CMP–NiFe,,Porous Network
paper_1397|output_1397|chem_IrOx,amorphous iridium oxide,IrO_x,Amorphous; Particle/Cluster; Rough/Wrinkled
paper_1398|output_1398|chem_Pt1OLC,Pt1/OLC,,Particle/Cluster
paper_1398|output_1398|chem_Pt1_graphene,Pt1/graphene,,2D Sheet
paper_139|output_139|chem_Pt,Platinum,Pt,Crystalline; Film/Coating; Particle/Cluster
paper_139|output_139|chem_PtAu,Platinum-Gold,PtAu,Film/Coating; Particle/Cluster
paper_139|output_139|chem_PtMo,Platinum-Molybdenum,PtMo,Film/Coating; Particle/Cluster
